,Unnamed: 0,ID,title,product_type,macro_category,prices,quantities,unit_of_measure,score,total_annual_revenues
64,64.0,5.712998154811909e+18,Mica Powder 15 Colors Natural Pigment Powder for Lip Gloss Epoxy Resin Pigment Dye Soap Making/Epoxy Pigment Metallic Set,Pigment,Chemicals,0.78,1.0,sets,4.8,290000.0
65,65.0,5.712998154811909e+18,Mica Powder 15 Colors Natural Pigment Powder for Lip Gloss Epoxy Resin Pigment Dye Soap Making/Epoxy Pigment Metallic Set,Pigment,Chemicals,0.72,2000.0,sets,4.8,290000.0
66,66.0,5.712998154811909e+18,Mica Powder 15 Colors Natural Pigment Powder for Lip Gloss Epoxy Resin Pigment Dye Soap Making/Epoxy Pigment Metallic Set,Pigment,Chemicals,0.6,3000.0,sets,4.8,290000.0
67,67.0,-1.218777136477493e+18,Anti-freeze Liquid Dye Fluorescent Green Pigment,Pigment,Chemicals,82.0,1.0,kilograms,4.9,70000.0
68,68.0,-1.218777136477493e+18,Anti-freeze Liquid Dye Fluorescent Green Pigment,Pigment,Chemicals,75.0,100.0,kilograms,4.9,70000.0
69,69.0,-6.069252326863179e+18,Matte Industrial Plastic Colorant Pigment Indigo Powder Iron Oxide Colour Pigments for Water Paints Lime Wash Art Wall Paint,Pigment,Chemicals,1.0,10.0,kilograms,4.8,290000.0
70,70.0,-6.069252326863179e+18,Matte Industrial Plastic Colorant Pigment Indigo Powder Iron Oxide Colour Pigments for Water Paints Lime Wash Art Wall Paint,Pigment,Chemicals,0.95,500.0,kilograms,4.8,290000.0
71,71.0,-6.069252326863179e+18,Matte Industrial Plastic Colorant Pigment Indigo Powder Iron Oxide Colour Pigments for Water Paints Lime Wash Art Wall Paint,Pigment,Chemicals,0.8,1000.0,kilograms,4.8,290000.0
72,72.0,-6.069252326863179e+18,Matte Industrial Plastic Colorant Pigment Indigo Powder Iron Oxide Colour Pigments for Water Paints Lime Wash Art Wall Paint,Pigment,Chemicals,0.4,5000.0,kilograms,4.8,290000.0
73,73.0,-5.0280536794747e+18,Cowint screen printing raw material paint industrial water based dyes and pigments paste materials,Pigment,Chemicals,3.0,1.0,kilograms,4.8,3500000.0
74,74.0,-4.782052548435968e+18,Fluorescent pigment powder for coat ink plastic paint and cosmetic,Pigment,Chemicals,,,,4.7,20000.0
75,75.0,-6.62803096904035e+18,Concrete Dye China Factory Supply Iron Oxide Pigments Multiple Colors Iron Oxide Powder with Red/Yellow/Blue/Green/Black,Pigment,Chemicals,0.8,100.0,kilograms,4.9,10000.0
76,76.0,-6.62803096904035e+18,Concrete Dye China Factory Supply Iron Oxide Pigments Multiple Colors Iron Oxide Powder with Red/Yellow/Blue/Green/Black,Pigment,Chemicals,0.7,1000.0,kilograms,4.9,10000.0
77,77.0,-6.62803096904035e+18,Concrete Dye China Factory Supply Iron Oxide Pigments Multiple Colors Iron Oxide Powder with Red/Yellow/Blue/Green/Black,Pigment,Chemicals,0.5,23000.0,kilograms,4.9,10000.0
78,78.0,4.7707697095441e+18,Manufacturer luminescent pigment Glowing Powder Photoluminescent Pigment for Resin Inks Coating Glow in The Dark Powder,Pigment,Chemicals,"['$4.69/gram', '']",,,5.0,20000.0
79,79.0,-8.92373463353338e+17,Chameleon Powder Chameleons Pigment for Nail polish eye shadow and cosmetics Magic Discolor Powder,Pigment,Chemicals,0.2,50.0,grams,4.9,110000.0
80,80.0,-8.92373463353338e+17,Chameleon Powder Chameleons Pigment for Nail polish eye shadow and cosmetics Magic Discolor Powder,Pigment,Chemicals,0.17,1000.0,grams,4.9,110000.0
81,81.0,-8.92373463353338e+17,Chameleon Powder Chameleons Pigment for Nail polish eye shadow and cosmetics Magic Discolor Powder,Pigment,Chemicals,0.15,5000.0,grams,4.9,110000.0
